"chapter_index","chapter","dialogue_index","line_index","speaker","line","fear","anger","happiness","ambitious","surprise","sadness","neutral"
"3","Spring Meadows","8","1","Lune","Fuck, it’s big. Fall back!","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"3","Spring Meadows","8","2","Gustave","Putain de merde!","0.2","0.8","0.0","0.0","0.0","0.0","0.0"
"3","Spring Meadows","9","0","Lune","Celebrate later. There’ll be others. We should be safe up in the tree.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","9","1","Gustave","Yeah. PUTAIN. Nobody.","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"3","Spring Meadows","9","2","Lune","Wait. There’s a message on the wall—“Took Maelle to the weird corals. Head north. Look for a door inside a hut.”","0.0","0.0","0.0","0.0","0.4","0.0","0.6"
"3","Spring Meadows","9","3","Gustave","Maelle?","0.0","0.0","0.0","0.0","0.7","0.0","0.3"
"3","Spring Meadows","9","4","Lune","This doesn’t make sense. Who would have written this? It sounds like an Expeditioner, but everyone KNOWS to sign their messages.","0.0","0.0","0.0","0.0","0.5","0.0","0.5"
"3","Spring Meadows","9","5","Gustave","Yeah, but they might’ve been in a hurry.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","9","6","Lune","I dunno. Doesn’t sound like anyone on the team. What if it’s a trap? The man on the beach–","0.8","0.0","0.0","0.0","0.0","0.0","0.2"
"3","Spring Meadows","9","7","Gustave","It’s a lead, our only lead. Whoever this is knows Maelle. We have to go.","0.0","0.0","0.0","0.7","0.0","0.0","0.3"
"3","Spring Meadows","9","8","Lune","No, not yet. Protocol is to regroup at the Rally Point and wait three days. This message feels off. If it was an Expeditioner, they would have stayed here. Everyone knows the protocol.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"3","Spring Meadows","9","9","Gustave","Right, but they may have been in danger. Maybe this location has been compromised. Things change in the field.","0.0","0.0","0.0","0.4","0.0","0.0","0.6"
"3","Spring Meadows","9","10","Lune","There’s a REASON it’s protocol.","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"3","Spring Meadows","9","11","Gustave","Protocol doesn’t cover every contingency. You know that.","0.0","0.0","0.0","0.4","0.0","0.0","0.6"
"3","Spring Meadows","9","12","Lune","There’s a REASON it’s protocol. We designed it to yield the optimal result in the vast majority of situations.","0.0","0.3","0.0","0.3","0.0","0.0","0.4"
"3","Spring Meadows","9","13","Gustave","Was our entire team dying part of that “optimal result?” Look. I’m going after Maelle. Protocol also states “Never move solo.” I’ll let you choose which protocol to break.","0.0","0.3","0.0","0.5","0.0","0.2","0.0"
"3","Spring Meadows","9","14","Lune","Merde.","0.0","0.6","0.0","0.0","0.0","0.4","0.0"
"3","Spring Meadows","10","0","Lune","So. The message said head north. To the “weird corals.”","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","10","1","Gustave","And a door in a hut.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","10","2","Lune","It’s been a long day, we should make camp.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","10","3","Gustave","I’m fine. Let’s keep going.","0.0","0.0","0.0","0.5","0.0","0.0","0.5"
"3","Spring Meadows","10","4","Lune","We won’t find Maelle if we’re dead.","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"3","Spring Meadows","11","0","Gustave","I’m sorry about earlier. The beach was not your fault–","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"3","Spring Meadows","11","1","Lune","No, it was. I convinced Alan to land there.","0.0","0.0","0.0","0.0","0.0","0.8","0.2"
"3","Spring Meadows","11","2","Gustave","So, uh… We can rest a bit, but the moon is bright, I want to keep moving.","0.0","0.0","0.0","0.4","0.0","0.0","0.6"
"3","Spring Meadows","11","3","Lune","Have you learned nothing from the beach?","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"3","Spring Meadows","11","4","Gustave","I’m not leaving Maelle alone a minute longer than I have to.","0.0","0.0","0.0","0.6","0.0","0.4","0.0"
"3","Spring Meadows","11","5","Lune","But right now, it’s just the two of us and I don’t want to bring Maelle your corpse. We have to think every step through. The man on the beach, you saw what he did. But more than that… You saw his face. He must be, what, 50? 60? Yet he survived the Gommage. We don’t know who we’re dealing with. We lost everyone in an instant–","0.4","0.0","0.0","0.0","0.0","0.5","0.1"
"3","Spring Meadows","11","6","Gustave","Exactly. He killed us all so easily, he doesn’t need to fake a message. Lucien– Lucien died to save me. And, and Tristan, Margot, they… they all… I am not letting Maelle die out here. I’m taking her home.","0.0","0.3","0.0","0.0","0.0","0.7","0.0"
"3","Spring Meadows","11","7","Lune","What, No, no, no. We have a mission–","0.0","0.6","0.0","0.0","0.0","0.0","0.4"
"3","Spring Meadows","11","8","Gustave","Oh, fuck the mission! Fuck the mission, Lune. What are we gonna do, huh? Tell me. What are we gonna do? We’re gonna take down the Paintress, just the three of us? My… my gun and… and your sparks?","0.0","0.8","0.0","0.0","0.0","0.2","0.0"
"3","Spring Meadows","11","9","Lune","I didn’t take you for a coward.","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"3","Spring Meadows","11","10","Gustave","I’m not a coward.","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"3","Spring Meadows","11","11","Lune","You swore the oath. “When one falls. We. Continue.”","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"3","Spring Meadows","11","12","Gustave","Yes, I know.","0.0","0.3","0.0","0.0","0.0","0.0","0.7"
"3","Spring Meadows","11","13","Lune","When one falls. WHEN one falls. Not if. When. We knew not all of us would make it. But “WE. CONTINUE.” As long as even one of us stands, our fight is not over.","0.0","0.0","0.0","0.5","0.0","0.0","0.5"
"3","Spring Meadows","11","14","Gustave","But I’m not afraid to fight, it’s just Maelle, she’s–","0.0","0.4","0.0","0.0","0.0","0.6","0.0"
"3","Spring Meadows","11","15","Lune","Maelle swore the same oath.","0.0","0.3","0.0","0.0","0.0","0.0","0.7"
"3","Spring Meadows","11","16","Gustave","I know that!","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"3","Spring Meadows","11","17","Lune","She chose her life! You and I… Come on… we always said the future of Lumière is more important than any–","0.0","0.3","0.0","0.0","0.0","0.0","0.7"
"3","Spring Meadows","11","18","Gustave","Than any individual life, yes.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"3","Spring Meadows","11","19","Lune","Yes, do you still believe that? Do you still believe that? Do you?","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"3","Spring Meadows","11","20","Gustave","I hope I do.","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"3","Spring Meadows","11","21","Lune","“Fuck the mission.” Really?","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"3","Spring Meadows","11","22","Gustave","Sorry.","0.0","0.0","0.0","0.0","0.0","0.6","0.4"
